gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
NOS1	2	A2780,UWB_BRCAdef	FALSE	2.4497757028347182	0.021035611433368823	116.45849756231165	0	2.408546662032536	2.4910047436369003	0	0.012737703814200817	0.9101404102661448	0	2.4497757028347182	0.021035611433368823	116.45849756231165	0	NA	NA	NA	NA	2.9574e-297	UP	1e-300	2	2	0	1
ABO	2	A2780,UWB_BRCAdef	FALSE	2.962436586120365	0.03359581915237353	88.17872761739373	0	2.896589990550592	3.028283181690138	0	0.7785481203257363	0.37758554428929375	0	2.962436586120365	0.03359581915237353	88.17872761739373	0	NA	NA	NA	NA	2.9574e-297	UP	1e-300	2	2	0	1
GJA3	2	A2780,UWB_BRCAdef	FALSE	1.995104100794142	0.03805765443181796	52.42320186517177	0	1.9205124687717074	2.069695732816576	0	0.08379131183837699	0.7722238079250558	0	1.995104100794142	0.03805765443181796	52.42320186517177	0	NA	NA	NA	NA	2.9574e-297	UP	1e-300	2	2	0	1
KRT14	2	A2780,PEO1	FALSE	5.14009575364092	0.10785940992232114	47.65551524287724	0	4.928695194799428	5.3514963124824115	0.009577760233550418	1.021777285161265	0.3120978027816425	2.131314277344867	5.150147752132488	0.04695692314377769	109.67813492300634	0	NA	NA	NA	NA	2.9574e-297	UP	1e-300	2	2	0	1
VSIR	2	A2780,UWB_BRCAdef	FALSE	1.4018547301603381	0.03831320530868261	36.58933568376351	4.226590427730084e-293	1.3267622276230313	1.476947232697645	0	0.00895973456427613	0.9245881676458403	0	1.4018547301603381	0.03831320530868261	36.58933568376351	4.226590427730084e-293	NA	NA	NA	NA	1.041643210914079e-289	UP	4.226590427730084e-293	2	2	0	1
KLK8	2	A2780,UWB_BRCAdef	FALSE	2.157470478824412	0.07222755190624634	29.87046385879003	4.761646431374163e-196	2.015907078396672	2.299033879252152	0	0.04064872513647473	0.8402174910505451	0	2.157470478824412	0.07222755190624634	29.87046385879003	4.761646431374163e-196	NA	NA	NA	NA	1.005863796867568e-192	UP	4.761646431374163e-196	2	2	0	1
SLC13A3	2	A2780,UWB_BRCAdef	FALSE	0.899577882215028	0.03390976840377413	26.528576412067316	4.53840856052018e-155	0.8331159574195364	0.9660398070105196	0	0.36672127756425466	0.5447968995459561	0	0.899577882215028	0.03390976840377413	26.528576412067316	4.53840856052018e-155	NA	NA	NA	NA	5.1622651834163e-152	UP	4.53840856052018e-155	2	2	0	1
FGFR3	2	A2780,UWB_BRCAdef	FALSE	1.992020515175734	0.07767246444050978	25.646418322434524	4.635491326508002e-145	1.8397852822818668	2.144255748069601	0	0.21835302542397228	0.6402977058593866	0	1.992020515175734	0.07767246444050978	25.646418322434524	4.635491326508002e-145	NA	NA	NA	NA	4.569667349671588e-142	UP	4.635491326508002e-145	2	2	0	1
URB1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.6709009539218961	0.026569181544856758	25.25109600343593	1.1016016683684997e-140	0.6188263149952705	0.7229755928485216	5.460552991482267e-6	1.7075669854543731	0.42580086599103484	0.07184645972951233	0.670902713218114	0.026485322416607247	25.331113688743844	1.451301230176907e-141	NA	NA	NA	NA	9.049657705647225e-138	UP	1.1016016683684997e-140	3	3	0	1
EGR2	2	A2780,UWB_BRCAdef	FALSE	0.6195970384327518	0.026186572174671414	23.660868413776132	9.123123567161301e-124	0.5682723000918372	0.6709217767736665	0	0.06929971637673121	0.7923591335840002	0	0.6195970384327518	0.026186572174671414	23.660868413776132	9.123123567161301e-124	NA	NA	NA	NA	7.100190957242851e-121	UP	9.123123567161301e-124	2	2	0	1
HPGD	2	A2780,UWB_BRCAdef	FALSE	0.7542453904885313	0.03560810411752554	21.181846357197884	1.4041951207685543e-99	0.6844547888604289	0.8240359921166338	0	0.2196703696021166	0.6392911950314625	0	0.7542453904885313	0.03560810411752554	21.181846357197884	1.4041951207685543e-99	NA	NA	NA	NA	9.887539643240291e-97	UP	1.4041951207685543e-99	2	2	0	1
TYMSOS	2	A2780,UWB_BRCAdef	FALSE	1.197886147805581	0.06054601752432185	19.78472237789017	4.031116252056203e-87	1.079218134050579	1.3165541615605827	0	0.26918356014841616	0.6038799734849513	0	1.197886147805581	0.06054601752432185	19.78472237789017	4.031116252056203e-87	NA	NA	NA	NA	2.5916572182241333e-84	UP	4.031116252056203e-87	2	2	0	1
DNAAF5	2	A2780,UWB_BRCAdef	FALSE	0.5479106699540502	0.02789913378857058	19.63898499882862	7.181928704014261e-86	0.4932293725285874	0.602591967379513	0	0.01371185222034048	0.9067826970446072	0	0.5479106699540502	0.02789913378857058	19.63898499882862	7.181928704014261e-86	NA	NA	NA	NA	4.4249658227607866e-83	UP	7.181928704014261e-86	2	2	0	1
NEDD9	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.7321176085529686	0.037895570921715346	19.31934499853233	3.693067101003233e-83	0.6578436543728232	0.806391562733114	2.365131247202845e-6	1.3406484975397892	0.5115426838065636	0.021333937063788156	0.7321190339150205	0.0378724379704878	19.3311831280977	2.9360730472221235e-83	NA	NA	NA	NA	2.1003608931744156e-80	UP	3.693067101003233e-83	3	3	0	1
ACOXL	2	A2780,UWB_BRCAdef	FALSE	0.6963781040727468	0.03866644015882529	18.0098840548114	1.6296954613235733e-72	0.620593273951076	0.7721629341944176	0	0.3123678708565766	0.5762307870832422	0	0.6963781040727468	0.03866644015882529	18.0098840548114	1.6296954613235733e-72	NA	NA	NA	NA	8.032768928863893e-70	UP	1.6296954613235733e-72	2	2	0	1
DFFA	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.45402361768111216	0.02545097828525493	17.839142079035586	3.510442630049701e-71	0.4041406168707015	0.5039066184915229	0	0.03868468447751796	0.9808435205929827	0	0.45402361768111216	0.02545097828525493	17.839142079035586	3.510442630049701e-71	NA	NA	NA	NA	1.6744811345337073e-68	UP	3.510442630049701e-71	3	3	0	1
MKRN2OS	2	A2780,UWB_BRCAdef	FALSE	1.2238232382240393	0.0701769513455629	17.439105215581844	4.165444329433565e-68	1.0862789410419162	1.3613675354061623	0	0.5954966167024247	0.4403014478479712	0	1.2238232382240393	0.0701769513455629	17.439105215581844	4.165444329433565e-68	NA	NA	NA	NA	1.7598407228381176e-65	UP	4.165444329433565e-68	2	2	0	1
HN1L	2	A2780,PEO1	FALSE	0.9932209995868231	0.05711962702483604	17.388436362775323	1.009509397669292e-67	0.8812685878077837	1.1051734113658624	0.0038741913148490695	2.060676436661245	0.1511430628920418	51.472245607844044	1.016955685861506	0.028185929706977274	36.08026048577579	4.626724511822708e-285	NA	NA	NA	NA	4.0344906657664385e-65	UP	1.009509397669292e-67	2	2	0	1
TUBB6	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.6819187690342039	0.039281155632376975	17.359946723974215	1.658772695609969e-67	0.6049291187236323	0.7589084193447755	1.4325018052713444e-6	1.5512641487094532	0.4604126739642082	0.008441564755731748	0.68192151101135	0.0392662336261048	17.36661370440169	1.4768860861827854e-67	NA	NA	NA	NA	6.4548083815748984e-65	UP	1.658772695609969e-67	3	3	0	1
JUN	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.9120798035445721	0.05676657922310299	16.067196861729723	4.332392731317975e-58	0.8008193527417505	1.0233402543473937	5.290116973318875e-6	2.248310938169134	0.3249267622127447	0.036025112120691406	0.9120839998696091	0.056740421807762065	16.07467781892373	3.83984510942926e-58	NA	NA	NA	NA	1.4898393329767185e-55	UP	4.332392731317975e-58	3	3	0	1
SYNE1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.48088731813540136	0.030139010820255892	15.955643700562513	2.6027621374743987e-57	0.4218159423980368	0.5399586938727658	0	0.13888870931393837	0.9329120441509607	0	0.48088731813540136	0.030139010820255892	15.955643700562513	2.6027621374743987e-57	NA	NA	NA	NA	8.747055392462258e-55	UP	2.6027621374743987e-57	3	3	0	1
CFAP54	2	A2780,UWB_BRCAdef	FALSE	0.30467437344243675	0.019144860282220295	15.914160195015151	5.0540607798492124e-57	0.2671511368002336	0.3421976100846399	0	0.06308044403024696	0.8016917964615957	0	0.30467437344243675	0.019144860282220295	15.914160195015151	5.0540607798492124e-57	NA	NA	NA	NA	1.6607643722584513e-54	UP	5.0540607798492124e-57	2	2	0	1
