gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
HTRA3	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	3.1136320223752554	0.04518193164715225	68.91321173895633	0	3.0250770635948867	3.202186981155624	0	0.16786053466988582	0.9194953727224346	0	3.1136320223752554	0.04518193164715225	68.91321173895633	0	NA	NA	NA	NA	5.8923333333333334e-297	UP	1e-300	3	3	0	1
KRT14	2	A2780,PEO1	FALSE	5.140095753640919	0.10785940992232104	47.65551524287728	0	4.9286951947994275	5.351496312482411	0.00957776023355039	1.021777285161265	0.3120978027816425	2.131314277344862	5.150147752132488	0.04695692314377769	109.67813492300634	0	NA	NA	NA	NA	5.8923333333333334e-297	UP	1e-300	2	2	0	1
VSIR	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.4042889141946115	0.03837775881585835	36.591217348896755	3.9451762349668506e-291	1.3290698891081647	1.4795079392810584	4.383637176109818e-6	2.768211349230095	0.2505477708568841	0.00205414716345338	1.4042808685925845	0.03832139291856652	36.64482842721037	5.531644444941288e-292	NA	NA	NA	NA	1.7434720076377254e-287	UP	3.9451762349668506e-291	3	3	0	1
HPGD	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.752328390100597	0.03555404552414439	21.16013463474075	2.2258613314694405e-99	0.6826437413685765	0.8220130388326176	0	0.4966217590688309	0.7801173830476509	0	0.752328390100597	0.03555404552414439	21.16013463474075	2.2258613314694405e-99	NA	NA	NA	NA	5.620935822340757e-96	UP	2.2258613314694405e-99	3	3	0	1
DNAAF5	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.5445082275622812	0.02749835384218995	19.801484506569174	2.890490405910975e-87	0.49061244439745033	0.5984040107271121	0	1.104963554772204	0.575519724699338	0	0.5445082275622812	0.02749835384218995	19.801484506569174	2.890490405910975e-87	NA	NA	NA	NA	5.6772443228098115e-84	UP	2.890490405910975e-87	3	3	0	1
ATOH8	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.0866942810520488	0.06049778233783409	17.9625473704753	3.828284483132762e-72	0.9681208065253506	1.205267755578747	0	0.33421882552437676	0.8461070313651566	0	1.0866942810520488	0.06049778233783409	17.9625473704753	3.828284483132762e-72	NA	NA	NA	NA	6.152053164394348e-69	UP	3.828284483132762e-72	3	3	0	1
MKRN2OS	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.2335140815778067	0.06935445232581001	17.785650959841245	9.129688282870433e-71	1.097581852851719	1.3694463103038943	0	1.1239931444914868	0.5700697414336473	0	1.2335140815778067	0.06935445232581001	17.785650959841245	9.129688282870433e-71	NA	NA	NA	NA	1.3448791648025052e-67	UP	9.129688282870433e-71	3	3	0	1
HN1L	2	A2780,PEO1	FALSE	0.9932209995868232	0.05711962702483604	17.388436362775323	1.009509397669292e-67	0.8812685878077837	1.1051734113658624	0.00387419131484906	2.060676436661246	0.15114306289204252	51.47224560784406	1.016955685861506	0.02818592970697727	36.08026048577579	4.6267245118227076e-285	NA	NA	NA	NA	1.3726998171230827e-64	UP	1.009509397669292e-67	2	2	0	1
GDF7	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	2.927465059503413	0.1761569282660547	16.618506511886842	5.119206550112525e-62	2.58220382447474	3.2727262945320863	0	0.6077120683160596	0.43565055960252985	0	2.927465059503413	0.1761569282660547	16.618506511886842	5.119206550112525e-62	NA	NA	NA	NA	6.463729584738508e-59	UP	5.119206550112525e-62	2	2	0	1
GATB	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.6529729742114049	0.03939074448890743	16.576812210169937	1.0252498365179575e-61	0.5757685336889267	0.7301774147338831	0	0.5101129063860664	0.7748727526852287	0	0.6529729742114049	0.03939074448890743	16.576812210169937	1.0252498365179575e-61	NA	NA	NA	NA	1.2082227573418624e-58	UP	1.0252498365179575e-61	3	3	0	1
RTL6	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	2.870698718075664	0.192197818088127	14.936167052424002	1.9168845518210517e-50	2.493997916715754	3.2473995194355743	0.03401587749170361	1.833829617919405	0.1756758790389571	45.469306950415415	2.8527120163355733	0.13980009968352616	20.40565080277788	1.4896566506175574e-92	NA	NA	NA	NA	1.9932216601494548e-47	UP	1.9168845518210517e-50	2	2	0	1
C14orf166	2	A2780,PEO1	FALSE	0.7083044895551631	0.04761407673201456	14.875947160368147	4.722539962746437e-50	0.614982614003288	0.8016263651070382	0	0.01294044829137873	0.9094311466917332	0	0.7083044895551631	0.04761407673201456	14.875947160368147	4.722539962746437e-50	NA	NA	NA	NA	4.637796606748265e-47	UP	4.722539962746437e-50	2	2	0	1
TWNK	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.5570536026373365	0.03824349789160456	14.565968945001346	4.6238170858735246e-48	0.48209772412695806	0.6320094811477149	0	0.5190275047444913	0.7714265989752831	0	0.5570536026373365	0.03824349789160456	14.565968945001346	4.6238170858735246e-48	NA	NA	NA	NA	4.301853401420331e-45	UP	4.6238170858735246e-48	3	3	0	1
GSTT1	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.501364177308215	0.03510622453879747	14.281347080035191	2.8601873377160733e-46	0.4325572415789957	0.5701711130374343	0	0.8769392764809628	0.6450227843475087	0	0.501364177308215	0.03510622453879747	14.281347080035191	2.8601873377160733e-46	NA	NA	NA	NA	2.4075967413717632e-43	UP	2.8601873377160733e-46	3	3	0	1
KRT78	2	A2780,PEO1	FALSE	0.5773435050602083	0.04054946197656321	14.2380065460277	5.3223733762760486e-46	0.497868019993668	0.6568189901267485	0	0.15201212006898496	0.6966198727022735	0	0.5773435050602083	0.04054946197656321	14.2380065460277	5.3223733762760486e-46	NA	NA	NA	NA	4.276527007837805e-43	UP	5.3223733762760486e-46	2	2	0	1
FAM86B1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.8052395818526641	0.05859207836023614	13.743147612922783	5.598775595519776e-43	0.6904012184872526	0.9200779452180756	3.2568990245266914e-7	4.832346271306558	0.18449333954536193	4.84094325740137e-4	0.8052407204414175	0.0585897244571309	13.743719191418938	5.554738343628278e-43	NA	NA	NA	NA	4.3030241826957865e-40	UP	5.598775595519776e-43	4	3	1	0.75
LOC730101	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	1.4163296435205266	0.10369877321724336	13.658113780703964	1.806013836533374e-42	1.2130837827737428	1.6195755042673103	0	0.4980285467915072	0.480367644757575	0	1.4163296435205266	0.10369877321724336	13.658113780703964	1.806013836533374e-42	NA	NA	NA	NA	1.3302044411833522e-39	UP	1.806013836533374e-42	2	2	0	1
C6orf106	2	A2780,PEO1	FALSE	0.4667226623637467	0.03418435791671936	13.653106005407096	1.9345393378968335e-42	0.3997225520123501	0.5337227727151433	0	0.00765793330030801	0.9302664404406557	0	0.4667226623637467	0.03418435791671936	13.653106005407096	1.9345393378968335e-42	NA	NA	NA	NA	1.3678740750400932e-39	UP	1.9345393378968335e-42	2	2	0	1
ACY3	2	A2780,PEO1	FALSE	0.7172848358019037	0.0528302910277013	13.577150945956346	5.471360105014213e-42	0.6137393680948396	0.8208303035089678	0	0.9605394224755694	0.3270510081022504	0	0.7172848358019037	0.0528302910277013	13.577150945956346	5.471360105014213e-42	NA	NA	NA	NA	3.719893560628317e-39	UP	5.471360105014213e-42	2	2	0	1
PEX6	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.6449239887299607	0.04834648758230148	13.339624468728774	1.3614361648405928e-40	0.5501666142896369	0.7396813631702845	0	2.0603713645911275	0.55997141317923	0	0.6449239887299607	0.04834648758230148	13.339624468728774	1.3614361648405928e-40	NA	NA	NA	NA	8.022035695295719e-38	UP	1.3614361648405928e-40	4	4	0	1
